GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
25500164,1610612744,Warriors,PHW,Philadelphia,0,49,97.0,0.505,,,,22,26.0,0.845,,,,25.0,,,,17.0,120,
25500164,1610612738,Celtics,BOS,Boston,0,40,96.0,0.416,,,,24,27.0,0.889,,,,21.0,,,,20.0,104,
35500001,1610616833,East,EST,East NBA All Stars,240,30,87.0,0.344,,,,34,54.0,0.63,,,,17.0,,,,30.0,94,
35500001,1610616834,West,WST,West NBA All Stars,240,39,100.0,0.39,,,,30,42.0,0.713,,,,22.0,,,,32.0,108,
25500168,1610612747,Lakers,MNL,Minneapolis,0,36,,,,,,32,45.0,0.71,,,,,,,,33.0,104,
25500168,1610612752,Knicks,NYK,New York,96,29,,,,,,37,49.0,0.755,,,,,,,,29.0,95,
25500165,1610612737,Hawks,STL,St. Louis,0,39,88.0,0.443,,,,36,48.0,0.75,,,,,,,,33.0,114,
25500165,1610612758,Royals,ROC,Rochester,0,35,93.0,0.376,,,,36,51.0,0.705,,,,,,,,30.0,106,
25500167,1610612744,Warriors,PHW,Philadelphia,0,46,91.0,0.505,,,,20,26.0,0.769,,,,33.0,,,,21.0,112,
25500167,1610612755,Nationals,SYR,Syracuse,0,43,111.0,0.387,,,,14,25.0,0.56,,,,27.0,,,,20.0,100,
25500166,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,36,84.0,0.428,,,,29,44.0,0.659,,,,25.0,,,,26.0,101,
25500166,1610612738,Celtics,BOS,Boston,0,37,94.0,0.394,,,,26,38.0,0.684,,,,28.0,,,,31.0,100,
25500169,1610612755,Nationals,SYR,Syracuse,240,38,101.0,0.376,,,,24,34.0,0.705,,,,31.0,,,,27.0,100,
25500169,1610612744,Warriors,PHW,Philadelphia,240,31,89.0,0.347,,,,27,35.0,0.771,,,,27.0,,,,23.0,89,
25500170,1610612738,Celtics,BOS,Boston,0,40,,,,,,17,22.0,0.773,,,,,,,,24.0,97,
25500170,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,39,,,,,,28,33.0,0.847,,,,,,,,19.0,106,
25500171,1610612758,Royals,ROC,Rochester,0,43,,,,,,25,31.0,0.806,,,,,,,,32.0,111,
25500171,1610612752,Knicks,NYK,New York,0,26,,,,,,41,53.0,0.774,,,,,,,,24.0,93,
